,name,cmc,colors,subtypes,rarity,power,toughness
513,Urza Powerstone Prodigy,3.0,['U'],"['Human', 'Artificer']",Uncommon,1,3
514,Ashnod Flesh Mechanist,1.0,['B'],"['Human', 'Artificer']",Rare,1,1
515,Gix Yawgmoth Praetor,3.0,['B'],"['Phyrexian', 'Praetor']",Mythic,3,3
516,Feldon Ronom Excavator,2.0,['R'],"['Human', 'Artificer']",Rare,2,2
517,Mishra Excavation Prodigy,3.0,['R'],"['Human', 'Artificer']",Uncommon,2,1
518,Mishra Lost to Phyrexia,7.0,"['B', 'R']","['Phyrexian', 'Artificer']",Mythic,9,9
519,Gwenna Eyes of Gaea,3.0,['G'],"['Elf', 'Druid', 'Scout']",Rare,2,3
520,Titania Voice of Gaea // Titania Gaea Incarnate,3.0,['G'],['Elemental'],Mythic,3,4
521,Hajar Loyal Bodyguard,2.0,"['G', 'R']","['Human', 'Soldier']",Rare,3,3
522,Harbin Vanguard Aviator,2.0,"['U', 'W']","['Human', 'Soldier']",Rare,3,2
523,Mishra Claimed by Gix // Mishra Lost to Phyrexia,4.0,"['B', 'R']","['Phyrexian', 'Human', 'Artificer']",Mythic,3,5
524,Mishra Tamer of Mak Fawa,5.0,"['B', 'R']","['Human', 'Artificer']",Rare,4,4
525,Queen Kayla bin-Kroog,3.0,"['R', 'W']","['Human', 'Noble']",Rare,2,3
526,Tawnos the Toymaker,5.0,"['G', 'U']","['Human', 'Artificer']",Rare,3,5
527,Tocasia Dig Site Mentor,4.0,"['G', 'U', 'W']","['Human', 'Artificer']",Rare,4,3
528,Urza Lord Protector // Urza Planeswalker,3.0,"['U', 'W']","['Human', 'Artificer']",Mythic,2,4
529,Urza Prince of Kroog,4.0,"['U', 'W']","['Human', 'Artificer']",Rare,2,3
530,Liberator Urza's Battlethopter,3.0,['UC'],['Thopter'],Rare,1,2
531,Titania Gaea Incarnate,3.0,['G'],"['Elemental', 'Avatar']",Mythic,*,*
549,Ramos Dragon Engine,6.0,['UC'],['Dragon'],Mythic,4,4
552,Azami Lady of Scrolls,5.0,['U'],"['Human', 'Wizard']",Rare,0,2
553,Lu Xun Scholar General,4.0,['U'],"['Human', 'Soldier']",Rare,1,3
554,Uyo Silent Prophet,6.0,['U'],"['Moonfolk', 'Wizard']",Rare,4,4
555,Endrek Sahr Master Breeder,5.0,['B'],"['Human', 'Wizard']",Rare,2,2
556,Hua Tuo Honored Physician,3.0,['G'],['Human'],Rare,1,2
557,Derevi Empyrial Tactician,3.0,"['G', 'U', 'W']","['Bird', 'Wizard']",Mythic,2,3
558,Gahiji Honored One,5.0,"['G', 'R', 'W']",['Beast'],Mythic,4,4
559,Jeleva Nephalia's Scourge,4.0,"['B', 'R', 'U']","['Vampire', 'Wizard']",Mythic,1,3
560,Marath Will of the Wild,3.0,"['G', 'R', 'W']","['Elemental', 'Beast']",Mythic,0,0
562,Nekusar the Mindrazer,5.0,"['B', 'R', 'U']","['Zombie', 'Wizard']",Mythic,2,4
563,Oloro Ageless Ascetic,6.0,"['B', 'U', 'W']","['Giant', 'Soldier']",Mythic,4,5
566,Rubinia Soulsinger,5.0,"['G', 'U', 'W']",['Faerie'],Rare,2,3
567,Sek'Kuar Deathkeeper,5.0,"['B', 'G', 'R']","['Orc', 'Shaman']",Rare,4,3
570,Sydri Galvanic Genius,3.0,"['B', 'U', 'W']","['Human', 'Artificer']",Mythic,2,2
572,Jazal Goldmane,4.0,['W'],"['Cat', 'Warrior']",Mythic,4,4
573,Stitcher Geralf,5.0,['U'],"['Human', 'Wizard']",Mythic,3,4
574,Ghoulcaller Gisa,5.0,['B'],"['Human', 'Wizard']",Mythic,3,4
575,Feldon of the Third Path,3.0,['R'],"['Human', 'Artificer']",Mythic,2,3
576,Titania Protector of Argoth,5.0,['G'],['Elemental'],Mythic,5,3
578,Lorthos the Tidemaker,8.0,['U'],['Octopus'],Mythic,8,8
579,Drana Kalastria Bloodchief,5.0,['B'],"['Vampire', 'Shaman']",Rare,4,4
581,Ezuri Renegade Leader,3.0,['G'],"['Elf', 'Warrior']",Rare,2,2
583,Anya Merciless Angel,5.0,"['R', 'W']",['Angel'],Mythic,4,4
585,Daxos the Returned,3.0,"['B', 'W']","['Zombie', 'Soldier']",Mythic,2,2
587,Kalemne Disciple of Iroas,4.0,"['R', 'W']","['Giant', 'Soldier']",Mythic,3,3
588,Karlov of the Ghost Council,2.0,"['B', 'W']","['Spirit', 'Advisor']",Mythic,2,2
589,Kaseto Orochi Archmage,3.0,"['G', 'U']","['Snake', 'Wizard']",Mythic,2,2
591,Meren of Clan Nel Toth,4.0,"['B', 'G']","['Human', 'Shaman']",Mythic,3,4
593,Jareth Leonine Titan,6.0,['W'],"['Cat', 'Giant']",Rare,4,7
597,Jarad Golgari Lich Lord,4.0,"['B', 'G']","['Zombie', 'Elf']",Mythic,2,2
598,Melek Izzet Paragon,6.0,"['R', 'U']","['Weird', 'Wizard']",Rare,2,4
599,Prime Speaker Zegana,6.0,"['G', 'U']","['Merfolk', 'Wizard']",Mythic,1,1
600,Teysa Envoy of Ghosts,7.0,"['B', 'W']","['Human', 'Advisor']",Rare,4,4
601,Akiri Line-Slinger,2.0,"['R', 'W']","['Kor', 'Soldier', 'Ally']",Rare,0,3
604,Bruse Tarl Boorish Herder,4.0,"['R', 'W']","['Human', 'Ally']",Mythic,3,3
605,Ikra Shidiqi the Usurper,5.0,"['B', 'G']","['Naga', 'Wizard']",Mythic,3,7
606,Ishai Ojutai Dragonspeaker,4.0,"['U', 'W']","['Bird', 'Monk']",Mythic,1,1
607,Kraum Ludevic's Opus,5.0,"['R', 'U']","['Zombie', 'Horror']",Rare,4,4
608,Kydele Chosen of Kruphix,4.0,"['G', 'U']","['Human', 'Wizard']",Mythic,2,3
609,Kynaios and Tiro of Meletis,4.0,"['G', 'R', 'U', 'W']","['Human', 'Soldier']",Mythic,2,8
610,Ludevic Necro-Alchemist,3.0,"['R', 'U']","['Human', 'Wizard']",Mythic,1,4
611,Ravos Soultender,5.0,"['B', 'W']","['Human', 'Cleric']",Mythic,2,2
612,Reyhan Last of the Abzan,3.0,"['B', 'G']","['Human', 'Warrior']",Rare,0,0
613,Saskia the Unyielding,4.0,"['B', 'G', 'R', 'W']","['Human', 'Soldier']",Mythic,3,4
614,Sidar Kondo of Jamuraa,4.0,"['G', 'W']","['Human', 'Knight']",Mythic,2,5
616,Tana the Bloodsower,4.0,"['G', 'R']","['Elf', 'Druid']",Mythic,2,2
617,Thrasios Triton Hero,2.0,"['G', 'U']","['Merfolk', 'Wizard']",Rare,1,3
618,Tymna the Weaver,3.0,"['B', 'W']","['Human', 'Cleric']",Rare,2,2
619,Vial Smasher the Fierce,3.0,"['B', 'R']","['Goblin', 'Berserker']",Mythic,2,3
620,Yidris Maelstrom Wielder,4.0,"['B', 'G', 'R', 'U']","['Ogre', 'Wizard']",Mythic,5,4
623,Kazuul Tyrant of the Cliffs,5.0,['R'],"['Ogre', 'Warrior']",Rare,5,4
625,Edric Spymaster of Trest,3.0,"['G', 'U']","['Elf', 'Rogue']",Rare,2,2
629,Jor Kadeen the Prevailer,5.0,"['R', 'W']","['Human', 'Warrior']",Rare,5,4
630,Nath of the Gilt-Leaf,5.0,"['B', 'G']","['Elf', 'Warrior']",Rare,4,4
631,Selvala Explorer Returned,3.0,"['G', 'W']","['Elf', 'Scout']",Rare,2,4
634,Vorel of the Hull Clade,3.0,"['G', 'U']","['Human', 'Merfolk']",Rare,1,4
635,Zedruu the Greathearted,4.0,"['R', 'U', 'W']","['Minotaur', 'Monk']",Mythic,2,4
636,Balan Wandering Knight,4.0,['W'],"['Cat', 'Knight']",Rare,3,3
637,Arahbo Roar of the World,5.0,"['G', 'W']","['Cat', 'Avatar']",Mythic,5,5
638,Edgar Markov,6.0,"['B', 'R', 'W']","['Vampire', 'Knight']",Mythic,4,4
639,Inalla Archmage Ritualist,5.0,"['B', 'R', 'U']","['Human', 'Wizard']",Mythic,4,5
640,Kess Dissident Mage,4.0,"['B', 'R', 'U']","['Human', 'Wizard']",Mythic,3,4
641,Licia Sanguine Tribune,8.0,"['B', 'R', 'W']","['Vampire', 'Soldier']",Mythic,4,4
642,Mairsil the Pretender,4.0,"['B', 'R', 'U']","['Human', 'Wizard']",Mythic,4,4
644,Mirri Weatherlight Duelist,3.0,"['G', 'W']","['Cat', 'Warrior']",Mythic,3,2
645,Nazahn Revered Bladesmith,6.0,"['G', 'W']","['Cat', 'Artificer']",Mythic,5,4
646,O-Kagachi Vengeful Kami,6.0,"['B', 'G', 'R', 'U', 'W']","['Dragon', 'Spirit']",Mythic,6,6
647,Taigam Ojutai Master,4.0,"['U', 'W']","['Human', 'Monk']",Rare,3,4
648,Taigam Sidisi's Hand,5.0,"['B', 'U']","['Human', 'Wizard']",Rare,3,4
649,The Ur-Dragon,9.0,"['B', 'G', 'R', 'U', 'W']","['Dragon', 'Avatar']",Mythic,10,10
658,Anowon the Ruin Sage,5.0,['B'],"['Vampire', 'Shaman']",Rare,4,3
661,Jedit Ojanen of Efrava,6.0,['G'],"['Cat', 'Warrior']",Rare,5,5
663,Bladewing the Risen,7.0,"['B', 'R']","['Zombie', 'Dragon']",Rare,4,4
664,Crosis the Purger,6.0,"['B', 'R', 'U']",['Dragon'],Rare,6,6
665,Dromoka the Eternal,5.0,"['G', 'W']",['Dragon'],Rare,5,5
667,Kolaghan the Storm's Fury,5.0,"['B', 'R']",['Dragon'],Rare,4,5
669,Nin the Pain Artist,2.0,"['R', 'U']","['Vedalken', 'Wizard']",Rare,1,1
670,Niv-Mizzet Dracogenius,6.0,"['R', 'U']","['Dragon', 'Wizard']",Rare,5,5
672,Ojutai Soul of Winter,7.0,"['U', 'W']",['Dragon'],Rare,5,6
673,Scion of the Ur-Dragon,5.0,"['B', 'G', 'R', 'U', 'W']","['Dragon', 'Avatar']",Rare,4,4
674,Silumgar the Drifting Death,6.0,"['B', 'U']",['Dragon'],Rare,3,7
676,Vela the Night-Clad,6.0,"['B', 'U']","['Human', 'Wizard']",Mythic,4,4
677,Varchild Betrayer of Kjeldor,3.0,['R'],"['Human', 'Knight']",Rare,3,3
680,Gyrus Waker of Corpses,3.0,"['B', 'G', 'R']",['Hydra'],Mythic,0,0
681,Tawnos Urza's Apprentice,2.0,"['R', 'U']","['Human', 'Artificer']",Mythic,1,3
682,Thantis the Warweaver,6.0,"['B', 'G', 'R']",['Spider'],Mythic,5,5
683,Tuvasa the Sunlit,3.0,"['G', 'U', 'W']","['Merfolk', 'Shaman']",Mythic,1,1
685,Xantcha Sleeper Agent,3.0,"['B', 'R']","['Phyrexian', 'Minion']",Rare,5,5
686,Yennett Cryptic Sovereign,5.0,"['B', 'U', 'W']",['Sphinx'],Mythic,3,5
687,Yuriko the Tiger's Shadow,3.0,"['B', 'U']","['Human', 'Ninja']",Rare,1,3
688,Budoka Gardener // Dokai Weaver of Life,2.0,['G'],"['Human', 'Monk']",Rare,3,3
690,Daxos of Meletis,3.0,"['U', 'W']","['Human', 'Soldier']",Rare,2,2
692,K'rrik Son of Yawgmoth,7.0,['B'],"['Phyrexian', 'Horror', 'Minion']",Rare,2,2
693,Anje Falkenrath,3.0,"['B', 'R']",['Vampire'],Mythic,1,3
695,Chainer Nightmare Adept,4.0,"['B', 'R']","['Human', 'Minion']",Mythic,3,2
697,Gerrard Weatherlight Hero,4.0,"['R', 'W']","['Human', 'Soldier']",Rare,3,3
698,Ghired Conclave Exile,5.0,"['G', 'R', 'W']","['Human', 'Shaman']",Mythic,2,5
699,Greven Predator Captain,5.0,"['B', 'R']","['Phyrexian', 'Human', 'Warrior']",Mythic,5,5
700,Grismold the Dreadsower,3.0,"['B', 'G']","['Troll', 'Shaman']",Rare,3,3
701,Kadena Slinking Sorcerer,4.0,"['B', 'G', 'U']","['Naga', 'Wizard']",Mythic,3,3
702,Marisi Breaker of the Coil,4.0,"['G', 'R', 'W']","['Cat', 'Warrior']",Mythic,5,4
703,Pramikon Sky Rampart,3.0,"['R', 'U', 'W']",['Wall'],Mythic,1,5
704,Rayami First of the Fallen,4.0,"['B', 'G', 'U']",['Vampire'],Mythic,5,4
705,Sevinne the Chronoclasm,5.0,"['R', 'U', 'W']","['Human', 'Wizard']",Mythic,2,2
706,Tahngarth First Mate,4.0,"['G', 'R']","['Minotaur', 'Warrior']",Rare,5,5
707,Volrath the Shapestealer,5.0,"['B', 'G', 'U']","['Phyrexian', 'Shapeshifter']",Mythic,7,5
708,Zetalpa Primal Dawn,8.0,['W'],"['Elder', 'Dinosaur']",Rare,4,8
713,Emmara Tandris,7.0,"['G', 'W']","['Elf', 'Shaman']",Rare,5,7
714,Trostani Selesnya's Voice,4.0,"['G', 'W']",['Dryad'],Mythic,2,5
715,Trynn Champion of Freedom,4.0,['W'],"['Human', 'Soldier']",Mythic,3,3
716,Haldan Avid Arcanist,3.0,['U'],"['Human', 'Wizard']",Mythic,1,4
717,Nikara Lair Scavenger,3.0,['B'],"['Human', 'Cleric']",Mythic,2,2
718,Brallin Skyshark Rider,4.0,['R'],"['Human', 'Shaman']",Mythic,3,3
719,Cazur Ruthless Stalker,4.0,['G'],"['Human', 'Warrior']",Mythic,3,3
720,Akim the Soaring Wind,5.0,"['R', 'U', 'W']","['Bird', 'Dinosaur']",Mythic,3,4
721,Gavi Nest Warden,5.0,"['R', 'U', 'W']","['Human', 'Shaman']",Mythic,2,5
722,Jirina Kudro,4.0,"['B', 'R', 'W']","['Human', 'Soldier']",Mythic,3,3
723,Kalamax the Stormsire,4.0,"['G', 'R', 'U']","['Elemental', 'Dinosaur']",Mythic,4,4
724,Kathril Aspect Warper,5.0,"['B', 'G', 'W']","['Nightmare', 'Insect']",Mythic,3,3
725,Kelsien the Plague,3.0,"['B', 'R', 'W']","['Human', 'Assassin']",Mythic,2,2
726,Otrimi the Ever-Playful,6.0,"['B', 'G', 'U']","['Nightmare', 'Beast']",Mythic,6,6
727,Pako Arcane Retriever,5.0,"['G', 'R']","['Elemental', 'Dog']",Mythic,3,3
728,Shabraz the Skyshark,5.0,"['U', 'W']","['Shark', 'Bird']",Mythic,3,3
729,Silvar Devourer of the Free,5.0,"['B', 'R']","['Cat', 'Nightmare']",Mythic,4,2
730,Tayam Luminous Enigma,4.0,"['B', 'G', 'W']","['Nightmare', 'Beast']",Mythic,3,3
731,Ukkima Stalking Shadow,3.0,"['B', 'U']","['Whale', 'Wolf']",Mythic,2,2
732,Xyris the Writhing Storm,5.0,"['G', 'R', 'U']","['Snake', 'Leviathan']",Mythic,3,5
733,Yannik Scavenging Sentinel,4.0,"['G', 'W']","['Hyena', 'Beast']",Mythic,3,3
734,Zaxara the Exemplary,4.0,"['B', 'G', 'U']","['Nightmare', 'Hydra']",Mythic,2,3
736,Odric Lunarch Marshal,4.0,['W'],"['Human', 'Soldier']",Rare,3,3
737,Odric Master Tactician,4.0,['W'],"['Human', 'Soldier']",Rare,3,4
743,Adriana Captain of the Guard,5.0,"['R', 'W']","['Human', 'Knight']",Rare,4,4
744,Garna the Bloodflame,5.0,"['B', 'R']","['Human', 'Warrior']",Uncommon,3,3
745,Isperia Supreme Judge,6.0,"['U', 'W']",['Sphinx'],Mythic,6,4
749,Rashmi Eternities Crafter,4.0,"['G', 'U']","['Elf', 'Druid']",Mythic,2,3
750,Wort the Raidmother,6.0,"['G', 'R']","['Goblin', 'Shaman']",Rare,3,3
751,Wydwen the Biting Gale,4.0,"['B', 'U']","['Faerie', 'Wizard']",Rare,3,3
752,Breena the Demagogue,3.0,"['B', 'W']","['Bird', 'Warlock']",Mythic,1,3
753,Felisa Fang of Silverquill,4.0,"['B', 'W']","['Vampire', 'Wizard']",Mythic,3,2
754,Veyran Voice of Duality,3.0,"['R', 'U']","['Efreet', 'Wizard']",Mythic,2,2
755,Zaffai Thunder Conductor,4.0,"['R', 'U']","['Human', 'Shaman']",Mythic,1,4
756,Gyome Master Chef,4.0,"['B', 'G']","['Troll', 'Warlock']",Mythic,5,3
757,Willowdusk Essence Seer,3.0,"['B', 'G']","['Dryad', 'Druid']",Mythic,3,3
758,Alibou Ancient Witness,5.0,"['R', 'W']",['Golem'],Mythic,4,5
759,Osgir the Reconstructor,4.0,"['R', 'W']","['Giant', 'Artificer']",Mythic,4,4
760,Adrix and Nev Twincasters,4.0,"['G', 'U']","['Merfolk', 'Wizard']",Mythic,2,2
761,Esix Fractal Bloom,6.0,"['G', 'U']",['Fractal'],Mythic,4,4
763,Nils Discipline Enforcer,3.0,['W'],"['Human', 'Cleric']",Rare,2,2
764,Deekah Fractal Theorist,5.0,['U'],"['Human', 'Wizard']",Rare,3,3
765,Octavia Living Thesis,10.0,['U'],"['Elemental', 'Octopus']",Rare,8,8
767,Tivash Gloom Summoner,5.0,['B'],"['Human', 'Warlock']",Rare,4,4
768,Laelia the Blade Reforged,3.0,['R'],"['Spirit', 'Warrior']",Rare,2,2
769,Rionya Fire Dancer,5.0,['R'],"['Human', 'Wizard']",Rare,3,4
770,Ruxa Patient Professor,4.0,['G'],"['Bear', 'Druid']",Rare,4,4
771,Yedora Grave Gardener,5.0,['G'],"['Treefolk', 'Druid']",Rare,5,5
773,Naru Meha Master Wizard,4.0,['U'],"['Human', 'Wizard']",Mythic,3,3
777,Pia Nalaar,3.0,['R'],"['Human', 'Artificer']",Rare,2,2
778,Arashi the Sky Asunder,5.0,['G'],['Spirit'],Rare,5,5
781,Sapling of Colfenor,5.0,"['B', 'G']","['Treefolk', 'Shaman']",Rare,2,5
804,Omnath Locus of Mana,3.0,['G'],['Elemental'],Mythic,1,1
805,Liliana Heretical Healer // Liliana Defiant Necromancer,3.0,['B'],"['Human', 'Cleric']",Mythic,2,3
807,Bushi Tenderfoot // Kenzo the Hardhearted,1.0,['W'],"['Human', 'Samurai']",Uncommon,3,4
808,Eight-and-a-Half-Tails,2.0,['W'],"['Fox', 'Cleric']",Rare,2,2
809,Hikari Twilight Guardian,5.0,['W'],['Spirit'],Rare,4,4
810,Isamaru Hound of Konda,1.0,['W'],['Dog'],Rare,2,2
811,Kitsune Mystic // Autumn-Tail Kitsune Sage,4.0,['W'],"['Fox', 'Wizard']",Rare,4,5
812,Konda Lord of Eiganjo,7.0,['W'],"['Human', 'Samurai']",Rare,3,3
813,Masako the Humorless,3.0,['W'],"['Human', 'Advisor']",Rare,2,1
814,Myojin of Cleansing Fire,8.0,['W'],['Spirit'],Rare,4,6
815,Nagao Bound by Honor,4.0,['W'],"['Human', 'Samurai']",Uncommon,3,3
816,Sensei Golden-Tail,2.0,['W'],"['Fox', 'Samurai']",Rare,2,1
817,Takeno Samurai General,6.0,['W'],"['Human', 'Samurai']",Rare,3,3
818,Yosei the Morning Star,6.0,['W'],"['Dragon', 'Spirit']",Rare,5,5
820,Hisoka Minamo Sensei,4.0,['U'],"['Human', 'Wizard']",Rare,1,3
821,Jushi Apprentice // Tomoya the Revealer,2.0,['U'],"['Human', 'Wizard']",Rare,2,3
822,Keiga the Tide Star,6.0,['U'],"['Dragon', 'Spirit']",Rare,5,5
823,Meloku the Clouded Mirror,5.0,['U'],"['Moonfolk', 'Wizard']",Rare,2,4
824,Myojin of Seeing Winds,10.0,['U'],['Spirit'],Rare,3,3
825,Student of Elements // Tobita Master of Winds,2.0,['U'],"['Human', 'Wizard']",Uncommon,3,3
826,The Unspeakable,9.0,['U'],['Spirit'],Rare,6,7
828,He Who Hungers,5.0,['B'],['Spirit'],Rare,3,2
829,Horobi Death's Wail,4.0,['B'],['Spirit'],Rare,4,4
830,Iname Death Aspect,6.0,['B'],['Spirit'],Rare,4,4
831,Kiku Night's Flower,2.0,['B'],"['Human', 'Assassin']",Rare,1,1
832,Kokusho the Evening Star,6.0,['B'],"['Dragon', 'Spirit']",Rare,5,5
833,Kuro Pitlord,9.0,['B'],"['Demon', 'Spirit']",Rare,9,9
834,Marrow-Gnawer,5.0,['B'],"['Rat', 'Rogue']",Rare,2,3
835,Myojin of Night's Reach,8.0,['B'],['Spirit'],Rare,5,2
836,Nezumi Graverobber // Nighteyes the Desecrator,2.0,['B'],"['Rat', 'Wizard']",Uncommon,4,2
837,Nezumi Shortfang // Stabwhisker the Odious,2.0,['B'],"['Rat', 'Shaman']",Rare,3,3
838,Seizan Perverter of Truth,5.0,['B'],"['Demon', 'Spirit']",Rare,6,5
839,Akki Lavarunner // Tok-Tok Volcano Born,4.0,['R'],"['Goblin', 'Shaman']",Rare,2,2
840,Ben-Ben Akki Hermit,4.0,['R'],"['Goblin', 'Shaman']",Rare,1,1
841,Brothers Yamazaki,3.0,['R'],"['Human', 'Samurai']",Uncommon,2,1
844,Initiate of Blood // Goka the Unjust,4.0,['R'],"['Ogre', 'Shaman']",Uncommon,4,4
845,Kiki-Jiki Mirror Breaker,5.0,['R'],"['Goblin', 'Shaman']",Rare,2,2
846,Kumano Master Yamabushi,5.0,['R'],"['Human', 'Shaman']",Rare,4,4
847,Myojin of Infinite Rage,10.0,['R'],['Spirit'],Rare,7,4
849,Shimatsu the Bloodcloaked,4.0,['R'],"['Demon', 'Spirit']",Rare,0,0
850,Zo-Zu the Punisher,3.0,['R'],"['Goblin', 'Warrior']",Rare,2,2
853,Dosan the Falling Leaf,3.0,['G'],"['Human', 'Monk']",Rare,2,2
854,Iname Life Aspect,6.0,['G'],['Spirit'],Rare,4,4
855,Jugan the Rising Star,6.0,['G'],"['Dragon', 'Spirit']",Rare,5,5
856,Kodama of the North Tree,5.0,['G'],['Spirit'],Rare,6,4
857,Kodama of the South Tree,4.0,['G'],['Spirit'],Rare,4,4
858,Myojin of Life's Web,9.0,['G'],['Spirit'],Rare,8,8
859,Orochi Eggwatcher // Shidako Broodmistress,3.0,['G'],"['Snake', 'Shaman']",Uncommon,3,3
860,Sachi Daughter of Seshiro,4.0,['G'],"['Snake', 'Shaman']",Uncommon,1,3
861,Seshiro the Anointed,6.0,['G'],"['Snake', 'Monk']",Rare,3,4
862,Shisato Whispering Hunter,4.0,['G'],"['Snake', 'Warrior']",Rare,2,2
863,Sosuke Son of Seshiro,4.0,['G'],"['Snake', 'Warrior']",Uncommon,3,4
864,Arcades Sabboth,8.0,"['G', 'U', 'W']","['Elder', 'Dragon']",Rare,7,7
865,Axelrod Gunnarson,8.0,"['B', 'R']",['Giant'],Rare,5,5
866,Ayesha Tanaka,4.0,"['U', 'W']","['Human', 'Artificer']",Rare,2,2
867,Chromium,8.0,"['B', 'U', 'W']","['Elder', 'Dragon']",Rare,7,7
868,Dakkon Blackblade,6.0,"['B', 'U', 'W']","['Human', 'Warrior']",Rare,*,*
869,Gabriel Angelfire,7.0,"['G', 'W']",['Angel'],Rare,4,4
870,Johan,6.0,"['G', 'R', 'W']","['Human', 'Wizard']",Rare,5,4
871,Kei Takahashi,4.0,"['G', 'W']","['Human', 'Cleric']",Uncommon,2,2
872,Marhault Elsdragon,6.0,"['G', 'R']","['Elf', 'Warrior']",Uncommon,4,6
873,Nebuchadnezzar,5.0,"['B', 'U']","['Human', 'Wizard']",Rare,3,3
875,Palladia-Mors,8.0,"['G', 'R', 'W']","['Elder', 'Dragon']",Rare,7,7
877,Sivitri Scarzam,7.0,"['B', 'U']",['Human'],Uncommon,6,4
878,Sol'kanar the Swamp King,5.0,"['B', 'R', 'U']",['Demon'],Rare,5,5
880,Tobias Andrion,5.0,"['U', 'W']","['Human', 'Advisor']",Uncommon,4,4
881,Tor Wauki,5.0,"['B', 'R']","['Human', 'Archer']",Uncommon,3,3
882,Vaevictis Asmadi,8.0,"['B', 'G', 'R']","['Elder', 'Dragon']",Rare,7,7
883,Xira Arien,3.0,"['B', 'G', 'R']","['Insect', 'Wizard']",Rare,1,2
884,Abdel Adrian Gorion's Ward,5.0,['W'],"['Human', 'Warrior']",Uncommon,4,4
885,Ellyn Harbreeze Busybody,4.0,['W'],"['Human', 'Peasant']",Uncommon,2,4
886,Lae'zel Vlaakith's Champion,3.0,['W'],"['Gith', 'Warrior']",Rare,3,3
887,Lulu Loyal Hollyphant,4.0,['W'],"['Elephant', 'Angel']",Uncommon,3,2
888,Rasaad yn Bashir,3.0,['W'],"['Human', 'Monk']",Uncommon,0,3
889,Alora Merry Thief,3.0,['U'],"['Halfling', 'Rogue']",Uncommon,3,2
890,Gale Waterdeep Prodigy,3.0,['U'],"['Human', 'Wizard']",Rare,1,3
891,Imoen Mystic Trickster,3.0,['U'],"['Human', 'Rogue', 'Wizard']",Uncommon,2,3
892,Renari Merchant of Marvels,4.0,['U'],"['Dragon', 'Artificer']",Uncommon,2,4
893,Vhal Candlekeep Researcher,4.0,['U'],"['Human', 'Wizard']",Uncommon,2,3
894,Volo Itinerant Scholar,3.0,['U'],"['Human', 'Wizard']",Mythic,2,3
895,Safana Calimport Cutthroat,3.0,['B'],"['Human', 'Rogue']",Uncommon,3,2
896,Sarevok Deathbringer,4.0,['B'],"['Human', 'Knight']",Uncommon,3,4
897,Shadowheart Dark Justiciar,4.0,['B'],"['Human', 'Elf', 'Cleric']",Rare,3,4
898,Sivriss Nightmare Speaker,4.0,['B'],"['Snake', 'Cleric', 'Warlock']",Uncommon,3,3
899,Viconia Drow Apostate,3.0,['B'],"['Elf', 'Cleric']",Uncommon,2,3
900,Amber Gristle O'Maul,4.0,['R'],"['Dwarf', 'Cleric']",Uncommon,3,3
901,Ganax Astral Hunter,5.0,['R'],['Dragon'],Uncommon,3,4
902,Gut True Soul Zealot,3.0,['R'],"['Goblin', 'Shaman']",Uncommon,2,2
903,Karlach Fury of Avernus,5.0,['R'],"['Tiefling', 'Barbarian']",Mythic,5,4
904,Livaan Cultist of Tiamat,3.0,['R'],"['Dragon', 'Shaman']",Uncommon,1,3
905,Wyll Blade of Frontiers,2.0,['R'],"['Human', 'Warlock']",Rare,1,1
906,Erinis Gloom Stalker,3.0,['G'],"['Halfling', 'Ranger']",Uncommon,3,3
907,Halsin Emerald Archdruid,4.0,['G'],"['Elf', 'Druid']",Uncommon,2,4
908,Jaheira Friend of the Forest,3.0,['G'],"['Human', 'Elf', 'Druid']",Rare,2,3
909,Skanos Dragonheart,5.0,['G'],"['Dragon', 'Ranger']",Uncommon,4,4
910,Wilson Refined Grizzly,2.0,['G'],"['Bear', 'Warrior']",Uncommon,2,2
911,Alaundo the Seer,4.0,"['G', 'U']","['Human', 'Shaman']",Rare,3,5
912,Astarion the Decadent,6.0,"['B', 'W']","['Vampire', 'Elf', 'Rogue']",Rare,4,4
913,Baba Lysaga Night Witch,3.0,"['B', 'G']","['Human', 'Warlock']",Rare,3,3
914,Bane Lord of Darkness,4.0,"['B', 'U', 'W']",['God'],Rare,5,2
915,Bhaal Lord of Murder,5.0,"['B', 'G', 'R']",['God'],Rare,4,4
916,Cadira Caller of the Small,3.0,"['G', 'W']","['Orc', 'Ranger']",Uncommon,3,3
917,Commander Liara Portyr,5.0,"['R', 'W']","['Human', 'Soldier']",Uncommon,5,3
918,The Council of Four,5.0,"['U', 'W']","['Human', 'Noble']",Rare,0,8
919,Duke Ulder Ravengard,6.0,"['R', 'W']","['Human', 'Noble', 'Soldier']",Rare,5,5
920,Dynaheir Invoker Adept,4.0,"['R', 'U', 'W']","['Human', 'Wizard']",Rare,4,4
921,Gluntch the Bestower,3.0,"['G', 'W']",['Jellyfish'],Rare,0,5
922,Gorion Wise Mentor,3.0,"['G', 'U', 'W']","['Human', 'Wizard']",Rare,3,4
923,Jan Jansen Chaos Crafter,3.0,"['B', 'R', 'W']","['Gnome', 'Artificer']",Rare,3,3
924,Jon Irenicus Shattered One,4.0,"['B', 'U']","['Elf', 'Wizard']",Rare,3,3
925,Kagha Shadow Archdruid,4.0,"['B', 'G']","['Elf', 'Druid']",Uncommon,1,4
926,Korlessa Scale Singer,2.0,"['G', 'U']","['Dragon', 'Bard']",Uncommon,1,4
